1 0 5680 
2 5680 8244 
3 8244 16838 
4 16838 24255 
5 24255 26686 
6 26686 28161 
7 28161 29816 
8 29816 32504 
9 32504 35100 
10 35100 37368 
11 37368 40447 
12 40447 42532 
13 42532 45535 
14 45535 52506 
15 52506 58883 
16 58883 65792 
17 65792 72580 
18 72580 76540 
19 76540 84681 
20 84681 92483 
21 92483 95615 
22 95615 97430 
23 97430 100429 
24 100429 102060 
25 102060 105101 
26 105101 108553 
27 108553 110429 
28 110429 111972 
29 111972 116759 
30 116759 118519 
31 118519 120053 
32 120053 122533 
33 122533 126164 
34 126164 128243 
35 128243 129717 
36 129717 132544 
37 132544 140377 
38 140377 143725 
39 143725 147366 
40 147366 156256 
41 156256 160005 
42 160005 162845 
43 162845 165062 
44 165062 168645 
45 168645 172155 
46 172155 174241 
47 174241 175856 
48 175856 177665 
49 177665 184040 
50 184040 187254 
51 187254 189504 
52 189504 191379 
53 191379 194816 
54 194816 200335 
55 200335 202355 
56 202355 206520 
57 206520 209249 
58 209249 213021 
59 213021 214782 
60 214782 216334 
61 216334 217895 
62 217895 219528 
63 219528 223191 
64 223191 225939 
65 225939 229914 
66 229914 232308 
67 232308 234716 
68 234716 237318 
69 237318 239703 
70 239703 242250 
71 242250 265516 
72 265516 268743 
73 268743 272372 
74 272372 278703 
75 278703 281803 
76 281803 285111 
77 285111 288532 
78 288532 293780 
79 293780 295403 
80 295403 298003 
81 298003 301433 
82 301433 303894 
83 303894 304983 
84 304983 307355 
85 307355 312447 
86 312447 316683 
87 316683 319710 
88 319710 323496 
89 323496 326144 
90 326144 331573 
91 331573 334109 
92 334109 337907 
93 337907 339015 
94 339015 344338 
95 344338 345789 
96 345789 347012 
97 347012 349065 
98 349065 356517 
99 356517 359855 
100 359855 362402 
101 362402 363449 
102 363449 364552 
103 364552 371259 
104 371259 373437 
105 373437 375386 
106 375386 382093 
107 382093 388317 
108 388317 391962 
109 391962 392610 
110 392610 394464 
111 394464 397562 
112 397562 398837 
113 398837 401155 
114 401155 402285 
115 402285 405782 
116 405782 409911 
117 409911 414256 
118 414256 420561 
119 420561 424333 
120 424333 425062 
121 425062 429356 
122 429356 433454 
123 433454 434008 
124 434008 435024 
125 435024 436625 
126 436625 440297 
127 440297 443903 
128 443903 448724 
129 448724 451439 
130 451439 453535 
131 453535 456683 
132 456683 457502 
133 457502 464701 
134 464701 465665 
135 465665 468830 
136 468830 471232 
137 471232 473923 
138 473923 477346 
139 477346 479913 
140 479913 484001 
141 484001 486060 
142 486060 487939 
143 487939 492392 
144 492392 493832 
145 493832 498274 
146 498274 502173 
147 502173 507871 
148 507871 514553 
